GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.image,CreationDateFromExifImageRenamer,7,20,0,0,3,9,0,3,0,3
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.image,AbstractImageRenamer,97,164,7,8,14,38,8,7,1,6
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.image,MetaDataExtractor,16,133,8,12,2,24,8,5,0,3
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.image,RemoveExifPrefixRenamer,254,0,20,0,48,0,15,0,5,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.image,ImageFilenameFilter,3,65,5,9,2,8,5,6,0,4
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.exception,RenamingErrorException,18,0,0,0,5,0,2,0,2,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.exception,NoFilesFoundException,24,0,2,0,5,0,3,0,2,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.exception,InvalidDirectoryException,15,18,0,0,3,5,1,2,1,2
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer,ApplicationStarter,20,0,0,0,8,0,2,0,2,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.util,ComponentGaugeUtil,54,37,7,1,8,10,5,2,1,2
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.util,Version,3,0,0,0,1,0,1,0,1,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.util,LocalizationHelper,7,137,3,5,2,28,3,7,0,6
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,HelpWindow,211,0,4,0,47,0,8,0,6,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,MainUIWindow.new SwingWorker() {...},156,0,4,0,35,0,5,0,3,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,ImageDirectorySelector,252,0,8,0,66,0,12,0,8,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,ProgressBar,23,121,1,1,5,36,3,6,2,6
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,ImageDirectorySelector.new DropTarget() {...},76,0,8,0,18,0,6,0,2,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,MainUIWindow,367,0,10,0,73,0,11,0,6,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,ImageDirectorySelector.2.new SwingWorker() {...},96,0,2,0,17,0,4,0,3,0
FotoRenamer - rename your photos automatically,de.aikiit.fotorenamer.gui,ImageDirectorySelector.new KeyAdapter() {...},18,0,2,0,5,0,3,0,2,0
